_2015_h8,idstd2005,_2005_q86a10,_2005_q86a6,n5b,d1a3,l1,id2015,n2f,k2c,d2,d10,_2005_q86a9,n2i,_2005_q86a11,idstd2015,i2b,k1c,_2005_q86a1,_2005_q86a5,id2005,_2005_q86a3,n2e,idstd2009,_2005_q86a4,a6a,_2005_q86a8,id2009,i4b,n2a,_2005_q87d,d11,c9b,n5a,n2b,_2005_q87a,main_activity_sales,total_purchases_2015,purchased_on_credit
0.0,61034.0,,,2800000000.0,80.0,50.0,,18000000.0,30.0,2700000000.0,0.0,,,,599663.0,36000000.0,0.0,,,,,1800000000.0,466253.0,,2.0,,341.0,,540000000.0,,0.0,,200000000.0,48000000.0,,2160000000.0,3000000000.0,0.0
0.0,61039.0,,,2000000000.0,100.0,57.0,,1000000000.0,100.0,13000000000.0,0.0,,,,599666.0,,100.0,,,,,2100000000.0,466261.0,,2.0,,371.0,,1200000000.0,,0.0,100000000.0,1000000000.0,1600000000.0,,13000000000.0,3000000000.0,3000000000.0
0.0,61044.0,,,0.0,60.0,50.0,,,70.0,6000000000.0,0.0,,,,599667.0,,70.0,,,,,,466263.0,,2.0,,375.0,,1600000000.0,,0.0,,700000000.0,,,3600000000.0,700000000.0,489999999.99999994
0.0,60987.0,,,0.0,70.0,140.0,,14300000000.0,100.0,638000000000.0,0.0,,,,599670.0,130000000.0,100.0,,,,,510000000000.0,466275.0,,3.0,,416.0,,12000000000.0,,0.0,50000000.0,6500000000.0,3600000000.0,,446600000000.0,6500000000.0,6500000000.0
0.0,,,,0.0,99.0,250.0,10872.0,555000000.0,50.0,14000000000.0,0.0,,,,599670.0,250000000.0,30.0,,,,,-9.0,,,3.0,,,,1650000000.0,,0.0,,0.0,1200000000.0,,13860000000.0,0.0,0.0
0.0,60410.0,,,0.0,50.0,64.0,,162000000.0,100.0,5000000000.0,0.0,,,,599671.0,,0.0,,,,,3939000000.0,466278.0,,2.0,,420.0,,937000000.0,,0.0,,2000000000.0,168000000.0,,2500000000.0,2000000000.0,0.0
0.0,,,,0.0,99.0,100.0,10875.0,240000000.0,100.0,10000000000.0,0.0,,,,599671.0,,0.0,,,,,1300000000.0,,,3.0,,,,5000000000.0,,0.0,,1500000000.0,1200000000.0,,9900000000.0,1500000000.0,0.0
0.0,60118.0,,,0.0,100.0,100.0,,30000000.0,30.0,40000000000.0,0.0,,,,599672.0,60000000.0,100.0,,,,,31000000000.0,466280.0,,2.0,,422.0,,4210000000.0,,0.0,,150000000.0,260000000.0,,40000000000.0,150000000.0,150000000.0
0.0,60883.0,,,0.0,80.0,105.0,,1000000000.0,100.0,49000000000.0,0.0,,,,599673.0,200000000.0,80.0,,,,,28000000000.0,466287.0,,3.0,,442.0,,8000000000.0,,0.0,,4000000000.0,400000000.0,,39200000000.0,4000000000.0,3200000000.0
0.0,,,,0.0,90.0,115.0,10884.0,360000000.0,100.0,226000000000.0,0.0,,,,599673.0,,90.0,,,,,66890000000.0,,,3.0,,,,9280000000.0,,0.0,,7000000000.0,702000000.0,,203400000000.0,7000000000.0,6300000000.0
0.0,60722.0,,,0.0,98.0,700.0,,600000000.0,100.0,244000000000.0,0.0,,,,599674.0,2440000.0,-9.0,,,,,60000000000.0,466292.0,,3.0,,459.0,,72000000000.0,,0.0,,-9.0,1300000000.0,,239120000000.0,-9.0,0.8099999999999999
0.0,,,,-9.0,95.0,600.0,10889.0,-9.0,65.0,800000000000.0,0.0,,,,599674.0,,65.0,,,,,200000000000.0,,,3.0,,,,37000000000.0,,0.0,,700000000.0,9000000000.0,,760000000000.0,699999991.0,454999994.15000004
0.0,60212.0,,,0.0,90.0,350.0,,0.0,100.0,14600000000.0,-7.0,,,,599675.0,,30.0,,,,,2000000000.0,466298.0,,3.0,,468.0,9000000.0,8000000000.0,,-7.0,,687000000.0,458000000.0,,13140000000.0,687000000.0,206100000.0
0.0,,,,0.0,80.0,650.0,10895.0,78000000.0,100.0,53000000000.0,0.0,,,,599675.0,,100.0,,,,,3000000000.0,,,3.0,,,,39000000000.0,,0.0,,2500000000.0,933000000.0,,42400000000.0,2500000000.0,2500000000.0
